"status","A_23_P117721","A_23_P128067","A_23_P14734","A_23_P33045","A_23_P34018","A_23_P7066","A_23_P7221","A_24_P213783","A_32_P155364"
1,3526.43,4380.952,145.9182,1358.424,1049.092,1737.703,957.6246,1629.019,1601.821
0,43770.04,48489.31,2052.783,19799.26,12447.51,35607.56,14165.3,22150.09,22814.45
1,4693.279,8399.768,62.34457,869.5194,1429.696,2683.238,1029.535,1614.397,1328.051
0,12265.44,17406.28,341.0029,6603.693,2567.355,9654.139,3599.126,6169.565,8399.263
1,5232.466,7758.917,180.2417,1709.158,1256.053,3495.962,988.5585,2011.147,1844.328
0,31562.42,56723.29,975.0373,16919.7,13424.23,30278.38,13724.28,20397.58,15718.6
1,5367.248,7377.611,150.3197,1994.504,1356.14,3501.782,1383.077,2230.725,2427.694
0,64219.34,80750.51,2284.243,34527.94,15018.79,47707.71,30359.27,44345.81,33895.28
1,3150.78,4492.016,76.65344,1206.089,733.3355,1823.445,829.459,1482.063,1380.983
0,15763.93,18853.56,441.1667,3803.476,5348.194,10836.57,4725.222,6714.42,5605.021
1,1139.782,1626.07,46.35459,414.7835,298.6372,777.7064,292.093,644.0381,499.9702
0,2514.762,3644.073,73.0566,857.4393,642.3842,1949.945,545.0311,1105.438,1013.08
1,6472.231,6237.53,138.8917,1790.099,958.0147,5428.119,811.6425,2165.981,1842.701
0,30174.78,40526.65,683.6952,17099.91,9615.193,29019.7,13262.28,21544.1,10505.5
1,1655.476,2139.125,58.60266,599.8554,357.772,1083.408,400.3348,756.9737,703.4892
0,11947.59,21073.41,327.1623,6719.544,4287.012,13479.98,6075.489,8051.758,4522.962
1,9793.044,13344.93,233.7908,4453.043,2041.179,5282.976,2579.315,4379.2,5108.269
0,17319.38,21040.76,393.2765,6780.719,3462.705,11913.63,3325.879,6422.886,8021.7
1,9773.991,14889.42,287.3342,2964.592,2372.151,8306.589,1706.752,3329.837,4063.151
0,5434.998,9650.789,163.118,1581.195,1598.437,5187.683,748.5558,1890.846,2874.24
1,4746.484,4923.259,129.3331,1077.221,1282.888,3664.918,887.8149,1679.163,1769.694
0,10118.4375,11961.321,210.0158,2727.5974,2782.7195,7272.913,2542.471,4299.2974,3316.608
1,11215.76,21821.35,293.8442,3743.311,3091.429,10371.61,2956.414,5139.647,5468.72
0,6245.745,6477.098,247.4997,2318.699,1405.679,6294.824,1534.034,3269.561,5540.171
1,16395.33,28721.93,397.865,8490.349,3695.93,15571.49,4831.596,7940.123,7037.743
0,33420.11,44829.89,725.9954,17042.95,10102.6,27367.92,10353.28,16859.96,11416.42
1,3800.502,5220.249,118.1056,1080.024,895.1025,3183.025,689.0573,1488.469,1663.633
0,20385.22,27505.88,451.5183,12076.75,5814.317,18065.71,7284.884,11766.57,6585.123
1,31406.22,40489.27,788.6469,13242.07,8867.819,32142.95,8547.404,13541.83,16407.95
0,16622.4,21553.4,379.3415,4631.529,4073.489,13976.56,2777.021,5001.993,6933.871
